Store ID,Total_Visits,Total_Transactions,Total_Revenue,Conversion_Rate
Store_1,11296,6054,587542.1,53.59419263456091
Store_10,12173,6311,802605.29,51.84424546126674
Store_11,9362,4526,428488.02,48.34437086092716
Store_12,8698,3310,313714.85,38.05472522418947
Store_13,11846,5155,564842.3099999999,43.51679891946649
Store_14,12804,4674,421539.55,36.504217432052485
Store_15,8922,3090,362021.48,34.633490248823136
Store_16,11857,6122,590286.53,51.63194737285991
Store_17,11468,5575,409284.05,48.61353331008023
Store_18,10021,5340,605131.34,53.28809500049895
Store_19,10678,4627,499675.35,43.3320846600487
Store_2,11890,6351,762620.26,53.41463414634147
Store_20,9062,3756,406859.5,41.44780401677334
Store_21,11478,5562,535694.38,48.45791949817041
Store_22,9480,5525,561177.72,58.280590717299575
Store_23,9411,3759,419320.67,39.942620337902454
Store_24,10295,4313,393599.89,41.894123360854785
Store_25,8524,4197,460440.63,49.23744720788362
Store_26,10974,5599,572546.72,51.02059413158374
Store_27,8856,3943,501106.44000000006,44.523486901535684
Store_28,12186,7238,1057732.38,59.39602822911538
Store_29,10843,5522,663533.18,50.926865258692246
Store_3,10214,5201,528964.69,50.920305463089875
Store_30,10659,4043,388411.83,37.93038746599118
Store_31,12942,6826,748926.1,52.74300726317416
Store_32,9157,4085,438905.49,44.610680353827675
Store_33,11430,6595,806192.61,57.69903762029747
Store_34,10220,5642,751553.57,55.205479452054796
Store_35,10257,4359,478791.75,42.497806376133376
Store_36,10149,3819,431669.84,37.62932308601833
Store_37,9458,5937,404139.26,62.77225629097061
Store_38,8975,5518,509927.46,61.48189415041783
Store_39,9213,6124,667804.09,66.4712905676761
Store_4,11112,5296,627270.33,47.6601871850252
Store_40,10295,4891,573784.33,47.50849927149102
Store_41,11083,6459,594191.64,58.27844446449517
Store_42,11239,5196,544943.9299999999,46.23187116291485
Store_43,12664,7616,786369.76,60.13897662665825
Store_44,8482,5356,467371.06,63.14548455552935
Store_45,11242,5489,579291.35,48.82583170254403
Store_46,10322,4997,459232.24,48.41116062778531
Store_47,9753,6081,521435.76,62.350046139649336
Store_48,11334,5558,550802.61,49.038291865184405
Store_49,11032,7129,793523.76,64.6211022480058
Store_5,11997,7275,713837.6,60.64016004001
Store_50,11172,5203,491489.52,46.571786609380595
Store_6,10668,5665,797079.88,53.10273715785527
Store_7,9822,4305,477403.31,43.83017715332926
Store_8,8794,5443,547882.53,61.89447350466227
Store_9,10245,4208,282296.99,41.07369448511469
